Date_analysis,Date_sampled,Block_id,Rep,Treatment_A,Treatment_A,Treatment_A,Treatment_A,Treat_B,Treat_B,Treat_C,Treat_C,Treat_C,Treat_C,Treat_D,Treat_D,Treat_D,Treat_D,degree_ionization_%,total_antho_mg_l,color_density,color_density_so2corrrected,Hue,so2_resistant_phenolics,Total_phenolics,total_Antho_mg_g_Skin,total_antho_mg_g_berry_weight,total_Antho_mg_berry,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,treatment
11/13/2019,9/19/2019,B2R2,3,0.454,0.423,0.911,0.882,0.124,0.095,0.855,0.826,0.446,0.415,0.701,0.675,1.353,1.3,24.47,643,13.05,12.41,0.48,0.95,61,3.27,0.55,0.58,58,54.5,0.94,605,10.71,64.23,60,2
11/14/2019,8/15/2019,B2R3,1,,0.223,,0.437,,0.04,,0.347,,0.196,,0.416,,0.95,19.72,403,6.6,5.43,0.51,0.4,43.5,3.09,0.37,0.33,48,49,1.02,411,6.39,52.96,60,2
11/14/2019,8/15/2019,B2R3,2,,0.202,,0.378,,0.04,,0.365,,0.199,,0.377,,0.937,18.59,364,5.8,5.64,0.53,0.4,42.9,3.15,0.36,0.32,48,52,1.08,394,6,53.1,60,2
11/14/2019,8/15/2019,B2R3,3,,0.217,,0.418,,0.041,,0.323,,0.185,,0.44,,1.04,17.69,426,6.35,5.08,0.52,0.41,48,3.49,0.41,0.36,48,51,1.06,453,6.23,53.24,60,2
11/13/2019,9/19/2019,B2R3,1,0.367,0.336,0.718,0.689,0.107,0.078,0.664,0.635,0.354,0.323,0.564,0.538,1.006,0.953,23.87,512,10.25,9.58,0.49,0.78,43.7,3.63,0.48,0.46,52,53.5,1.03,527,7.54,57.23,60,2
11/14/2019,9/19/2019,B2R3,2,,0.297,,0.615,,0.072,,0.49,,0.249,,0.589,,1.007,19.22,565,9.12,7.39,0.48,0.72,46.4,4.76,0.59,0.56,52,59,1.13,641,7.01,56.82,60,2
11/13/2019,9/19/2019,B2R3,3,0.34,0.309,0.656,0.627,0.095,0.066,0.558,0.529,0.313,0.282,0.534,0.508,0.945,0.892,23.09,486,9.36,8.11,0.49,0.66,40.6,3.59,0.46,0.44,52,54,1.04,505,7.31,57.06,60,2
11/14/2019,8/15/2019,B3R1,1,,0.282,,0.569,,0.043,,0.373,,0.211,,0.494,,1.008,21.93,480,8.51,5.84,0.5,0.43,46.4,3.87,0.42,0.41,54,51.5,0.95,457,6.38,58.98,60,3
11/14/2019,8/15/2019,B3R1,2,,0.262,,0.508,,0.05,,0.38,,0.222,,0.46,,1.017,20.66,443,7.7,6.02,0.52,0.5,46.9,2.64,0.38,0.38,54,51,0.94,419,8.56,59.2,60,3
11/14/2019,8/15/2019,B3R1,3,,0.26,,0.512,,0.043,,0.351,,0.205,,0.524,,1.173,18.4,510,7.72,5.56,0.51,0.43,54.7,4.22,0.44,0.44,54,51.5,0.95,486,6.22,59.22,60,3
11/13/2019,9/19/2019,B3R1,1,0.381,0.35,0.754,0.725,0.111,0.082,0.627,0.598,0.35,0.319,0.614,0.588,1.072,1.019,22.94,561,10.75,9.17,0.48,0.82,47,3.61,0.51,0.54,56,57.5,1.03,576,8.93,62.67,60,3
11/14/2019,9/19/2019,B3R1,2,,0.29,,0.574,,0.073,,0.459,,0.247,,0.568,,1.035,18.43,544,8.64,7.06,0.51,0.73,47.8,3.15,0.48,0.5,56,55.5,0.99,539,9.59,62.56,60,3
11/13/2019,9/19/2019,B3R1,3,0.341,0.31,0.641,0.612,0.098,0.069,0.559,0.53,0.322,0.291,0.679,0.653,1.219,1.166,17.24,630,9.22,8.21,0.51,0.69,54.3,3.72,0.53,0.55,56,52.5,0.94,591,8.9,62.95,60,3
11/14/2019,8/15/2019,B3R2,1,,0.255,,0.524,,0.044,,0.388,,0.213,,0.466,,1.035,21.27,451,7.79,6.01,0.49,0.44,47.8,4.43,0.42,0.38,50,50.5,1.01,456,5.15,54.25,60,3
11/14/2019,8/15/2019,B3R2,2,,0.258,,0.518,,0.044,,0.361,,0.204,,0.469,,1.106,20.87,454,7.76,5.65,0.5,0.44,51.3,3.6,0.46,0.42,50,55,1.1,500,6.95,54.51,60,3
11/14/2019,8/15/2019,B3R2,3,,0.279,,0.572,,0.05,,0.463,,0.251,,0.599,,1.36,17.93,582,8.51,7.14,0.49,0.5,64,5.44,0.54,0.49,50,50.5,1.01,588,5.41,54.1,60,3
11/13/2019,9/19/2019,B3R2,1,0.341,0.31,0.657,0.628,0.098,0.069,0.616,0.587,0.33,0.299,0.593,0.567,1.084,1.031,20.55,544,9.38,8.86,0.49,0.69,47.6,3.35,0.5,0.51,55,56.5,1.03,559,9.17,61.52,60,3
11/13/2019,9/19/2019,B3R2,2,0.383,0.352,0.742,0.713,0.103,0.074,0.647,0.618,0.353,0.322,0.615,0.589,1.16,1.107,22.65,564,10.65,9.4,0.49,0.74,51.4,3.07,0.48,0.49,55,52.5,0.95,539,9.66,61.82,60,3
11/13/2019,9/19/2019,B3R2,3,0.369,0.338,0.722,0.693,0.105,0.076,0.63,0.601,0.345,0.314,0.653,0.627,1.183,1.13,20.51,602,10.31,9.15,0.49,0.76,52.5,4.2,0.58,0.59,55,59,1.07,645,8.45,61.45,60,3
11/14/2019,8/15/2019,B3R3,1,,0.234,,0.464,,0.039,,0.347,,0.197,,0.447,,1.101,19.59,434,6.98,5.44,0.5,0.39,51.1,3.09,0.43,0.38,48,52,1.08,470,7.31,52.78,60,3
11/14/2019,8/15/2019,B3R3,2,,0.281,,0.576,,0.05,,0.579,,0.278,,0.473,,1,23.05,456,8.57,8.57,0.49,0.5,46,3.45,0.43,0.38,48,50,1.04,475,6.61,52.95,60,3
11/14/2019,8/15/2019,B3R3,3,,0.276,,0.547,,0.047,,0.396,,0.224,,0.475,,1.147,21.77,459,8.23,6.2,0.5,0.47,53.4,3.7,0.43,0.38,48,50,1.04,478,6.21,52.85,60,3
11/13/2019,9/19/2019,B3R3,1,0.419,0.388,0.876,0.847,0.108,0.079,0.791,0.762,0.397,0.366,0.784,0.758,1.327,1.274,20.99,732,12.35,11.28,0.46,0.79,59.7,4.55,0.65,0.66,54,54,1,732,8.69,60.68,60,3
11/14/2019,9/19/2019,B3R3,2,,0.366,,0.757,,0.091,,0.553,,0.301,,0.741,,1.402,18.74,711,11.23,8.54,0.48,0.91,66.1,4.11,0.6,0.6,54,51,0.94,671,8.82,60.48,60,3
11/13/2019,9/19/2019,B3R3,3,0.373,0.342,0.733,0.704,0.104,0.075,0.588,0.559,0.331,0.3,0.697,0.671,1.335,1.282,19.47,646,10.46,8.59,0.49,0.75,60.1,4.13,0.58,0.58,54,54,1,646,8.45,60.31,60,3
,,,,Abs_420,Corrected_Abs_420,Abs_520,Corrected_blank_520,Abs_520,Corrected_blank_520,Abs_520,Corrected_blank_520,Abs_420,Corrected_Abs_420,Abs_520,Corrected_blank_520,Abs_280,Corrected_Abs_280,,,,,,,,,,,,,,,,,,3
