Date,hours,treatment
8/30/2019,5,3
8/31/2019,5,3
9/1/2019,0,3
9/2/2019,5,3
9/3/2019,5,3
9/4/2019,5,3
9/5/2019,5,3
9/6/2019,5,3
9/7/2019,5,3
9/8/2019,0,3
9/9/2019,0,3
9/10/2019,5,3
9/11/2019,3.5,3
9/12/2019,3.5,3
9/13/2019,3.5,3
9/14/2019,3.5,3
9/15/2019,0,3
9/16/2019,3.5,3
9/17/2019,3.5,3
9/18/2019,3.5,3
9/19/2019,3.5,3
9/20/2019,3.5,3
9/21/2019,3.5,3
9/22/2019,0,3
9/23/2019,3.5,3
9/24/2019,3.5,3
9/25/2019,0,3
9/26/2019,0,3
9/27/2019,23.75,3
9/28/2019,23.75,3
