Sample,Rep,Date,mAU,short_name_antho,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
B2R3,3,9/19/2019,122.5,C3G,52,54,7.31,57.06,60
B3R1,1,9/19/2019,119,C3G,56,57.5,8.93,62.67,60
B3R1,2,9/19/2019,143.6,C3G,56,55.5,9.59,62.56,60
B3R1,3,9/19/2019,164.7,C3G,56,52.5,8.9,62.95,60
B3R2,1,9/19/2019,204.1,C3G,55,56.5,9.17,61.52,60
B3R2,2,9/19/2019,246,C3G,55,52.5,9.66,61.82,60
B3R2,3,9/19/2019,182.2,C3G,55,59,8.45,61.45,60
B3R3,1,9/19/2019,279.6,C3G,54,54,8.69,60.68,60
B3R3,2,9/19/2019,280.9,C3G,54,51,8.82,60.48,60
B3R3,3,9/19/2019,235.5,C3G,54,54,8.45,60.31,60
B1R2,1,8/8/2019,586.8,Pet3G,56,55.5,6.57,60.8,60
B1R2,2,8/8/2019,540.4,Pet3G,56,54.5,6.69,60.8,60
B1R2,3,8/8/2019,429.3,Pet3G,56,55,5.95,60.5,60
B1R3,1,8/8/2019,490.3,Pet3G,34,52.5,4.94,42,60
B1R3,2,8/8/2019,600.7,Pet3G,34,53,5.25,42,60
B1R3,3,8/8/2019,589.5,Pet3G,34,54.5,5.1,42.3,60
B1R4,1,8/8/2019,695.6,Pet3G,36,51.5,5.8,44.8,60
B1R4,2,8/8/2019,627.9,Pet3G,36,50,5.66,44.7,60
B1R4,3,8/8/2019,533.7,Pet3G,36,54,6.27,45,60
B2R1,1,8/8/2019,629,Pet3G,50,50,6.32,54.9,60
B2R1,2,8/8/2019,541.7,Pet3G,50,53,5.99,54.9,60
B2R1,3,8/8/2019,603.5,Pet3G,50,52,5.92,55.1,60
B2R2,1,8/8/2019,936.2,Pet3G,54,52.5,6.6,59.6,60
B2R2,2,8/8/2019,957.5,Pet3G,54,52,7.08,59.2,60
B2R2,3,8/8/2019,823.9,Pet3G,54,54,6.92,59.3,60
B2R3,1,8/8/2019,505.4,Pet3G,44,52,5.74,47,60
B2R3,2,8/8/2019,379.7,Pet3G,44,51,5.77,47,60
B2R3,3,8/8/2019,353.1,Pet3G,44,51.5,6.3,46.9,60
B3R1,1,8/8/2019,660,Pet3G,48,57,6.38,51.9,60
B3R1,2,8/8/2019,522.9,Pet3G,48,56,6.52,51.9,60
B3R1,3,8/8/2019,528.3,Pet3G,48,57,5.99,51.9,60
B3R2,1,8/8/2019,612.8,Pet3G,44,56,6.03,49.4,60
B3R2,2,8/8/2019,605.5,Pet3G,44,52.5,5.42,49.4,60
B3R2,3,8/8/2019,540.8,Pet3G,45,54,6.38,49.7,60
