Block,Rep,Date,mAU,short_name_flavo,Extract_ini_vol,Extract_final_vol,Total_antho_mg_L_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb
B1R1,1,7/8/20,0,MYR3G,26,40,67723.077,3,27.11,60
B1R1,2,7/8/20,0,MYR3G,27,38,61954.074,2.96,26.08,60
B1R1,3,7/8/20,0,MYR3G,26,42,71109.231,3.46,27.19,60
B1R3,1,7/8/20,0,MYR3G,25,37,65149.6,2.99,27.08,60
B1R3,2,7/8/20,0,MYR3G,26,36.5,61797.308,2.8,27.08,60
B1R3,3,7/8/20,0,MYR3G,27,38.5,62769.259,2.94,27.13,60
B1R4,1,7/8/20,0,MYR3G,26,39.5,66876.538,3.02,27.12,60
B1R4,2,7/8/20,0,MYR3G,26,39,66030,3.1,26.72,60
B1R4,3,7/8/20,0,MYR3G,26,40,67723.077,3.31,27.05,60
B2R1,1,7/8/20,0,MYR3G,28,41.5,65243.929,2.93,28.67,60
B2R1,2,7/8/20,0,MYR3G,28,36,56597.143,3.67,28.4,60
B2R1,3,7/8/20,0,MYR3G,28,35,55025,3.21,28.59,60
B2R2,1,7/8/20,0,MYR3G,30,40,58693.333,3.65,30.71,60
B2R2,2,7/8/20,0,MYR3G,30,39.5,57959.667,3.51,30.69,60
B2R2,3,7/8/20,0,MYR3G,30,41.5,60894.333,3.51,30.65,60
B2R3,1,7/8/20,0,MYR3G,27,39,63584.444,3.09,27.88,60
B2R3,2,7/8/20,0,MYR3G,27,40,65214.815,2.73,28.01,60
B2R3,3,7/8/20,0,MYR3G,27,40.5,66030,3.44,27.99,60
B3R1,1,7/8/20,0,MYR3G,27,38.5,62769.259,3.13,28.45,60
B3R1,2,7/8/20,0,MYR3G,26,39,66030,3.05,28.4,60
B3R1,3,7/8/20,0,MYR3G,28,34.5,54238.929,3.78,28.27,60
B3R2,1,7/8/20,0,MYR3G,30,38.5,56492.333,3.51,35.52,60
B3R2,2,7/8/20,0,MYR3G,30,41,60160.667,3.25,35.54,60
B3R2,3,7/8/20,0,MYR3G,29,41,62235.172,3.41,35.36,60
B3R3,1,7/8/20,0,MYR3G,23,35.5,67943.913,2.79,29.23,60
B3R3,2,7/8/20,0,MYR3G,23,38.5,73685.652,3.14,29.2,60
B3R3,3,7/8/20,0,MYR3G,23,38.5,73685.652,2.74,28.88,60
B1R1,1,7/12/20,0,MYR3G,26,38,64342.769,2.13,26.77,60
B1R1,2,7/12/20,0,MYR3G,26,36,60956.308,2.04,26.79,60
B1R1,3,7/12/20,0,MYR3G,26,32.5,55030,2.06,26.86,60
B1R3,1,7/12/20,0,MYR3G,29,39.5,59963.724,NA,29.62,60
B1R3,2,7/12/20,0,MYR3G,29,34.5,52373.379,3.01,29.77,60
B1R3,3,7/12/20,0,MYR3G,29,37,56168.552,3.36,29.55,60
B1R4,1,7/12/20,0,MYR3G,27,39,63590.222,3.19,28.16,60
B1R4,2,7/12/20,0,MYR3G,27,38,61959.704,2.88,28.22,60
B1R4,3,7/12/20,0,MYR3G,27,34,55437.63,2.77,28.03,60
B2R1,1,7/12/20,0,MYR3G,28,35,55030,3.15,29.02,60
B2R1,2,7/12/20,0,MYR3G,28,36,56602.286,3.83,29.23,60
B2R1,3,7/12/20,0,MYR3G,28,38,59746.857,3.61,29.14,60
B2R2,1,7/12/20,0,MYR3G,29,37,56168.552,3.25,30.12,60
B2R2,2,7/12/20,0,MYR3G,28,43,67608.286,3.28,29.98,60
B2R2,3,7/12/20,0,MYR3G,29,36,54650.483,3.39,29.99,60
B2R3,1,7/12/20,0,MYR3G,28,42,66036,3.23,29.7,60
B2R3,2,7/12/20,0,MYR3G,28,34,53457.714,3.44,29.5,60
B2R3,3,7/12/20,0,MYR3G,28,40,62891.429,2.93,29.61,60
B3R1,1,7/12/20,0,MYR3G,30,32.5,47692.667,3.88,31.8,60
B3R1,2,7/12/20,0,MYR3G,31,34.5,48994.452,3.54,31.77,60
B3R1,3,7/12/20,0,MYR3G,31,36,51124.645,3.47,31.94,60
B3R2,1,7/12/20,0,MYR3G,30,38,55763.733,4.09,30.99,60
B3R2,2,7/12/20,0,MYR3G,30,39.5,57964.933,4.73,31.31,60
B3R2,3,7/12/20,0,MYR3G,29,43,65276.966,4.72,31.23,60
B3R3,1,7/12/20,0,MYR3G,27,44.5,72558.074,3.77,27.02,60
B3R3,2,7/12/20,0,MYR3G,26,38.5,65189.385,3.69,27.03,60
B3R3,3,7/12/20,0,MYR3G,26,35,59263.077,4.05,27.14,60
B2R1,1,7/21/20,29.3,MYR3G,33,45,60045,3.71,34.67,60
B2R1,2,7/21/20,22.1,MYR3G,33,43,57376.333,3.61,34.49,60
B2R1,3,7/21/20,12.9,MYR3G,33,43,57376.333,3.79,34.33,60
B2R2,1,7/21/20,14,MYR3G,35,44,55355.771,3.53,36.8,60
B2R2,2,7/21/20,22.4,MYR3G,35,43.5,54726.729,3.9,36.76,60
B2R2,3,7/21/20,40.3,MYR3G,35,45,56613.857,3.6,36.93,60
B2R3,1,7/21/20,14,MYR3G,32,43,59169.344,3.96,33.21,60
B2R3,2,7/21/20,13,MYR3G,32,44,60545.375,2.95,33.16,60
B2R3,3,7/21/20,16,MYR3G,32,43.5,59857.359,3.1,33.27,60
B3R1,1,7/21/20,21.5,MYR3G,34,43,55688.794,3.46,35.15,60
B3R1,2,7/21/20,15.5,MYR3G,33,47,62713.667,3.55,34.98,60
B3R1,3,7/21/20,22.3,MYR3G,33,45,60045,3.93,35.25,60
B3R2,1,7/21/20,31.5,MYR3G,35,46,57871.943,3.49,37.22,60
B3R2,2,7/21/20,22.4,MYR3G,35,43,54097.686,3.98,37.39,60
B3R2,3,7/21/20,17.8,MYR3G,37,45,53553.649,3.89,37.1,59
B3R3,1,7/21/20,24.5,MYR3G,31,45,63918.871,2.96,31.8,60
B3R3,2,7/21/20,15.5,MYR3G,30,48,70452.8,3.69,31.89,60
B3R3,3,7/21/20,25.2,MYR3G,31,47,66759.71,3.26,31.85,60
B1R1,1,7/21/20,25.9,MYR3G,32,40,55041.25,3.89,33.44,60
B1R1,2,7/21/20,26,MYR3G,32,41.5,57105.297,3.55,33.22,60
B1R1,3,7/21/20,16.7,MYR3G,32,42.5,58481.328,3.75,33.1,60
B1R3,1,7/21/20,19.5,MYR3G,30,44.5,65315.617,3.38,31.44,59
B1R3,2,7/21/20,20.3,MYR3G,30,45.5,66783.383,3.21,31.4,60
B1R3,3,7/21/20,25.5,MYR3G,30,41.5,60912.317,3.33,31.56,60
B1R4,1,7/21/20,10.4,MYR3G,31,47,66759.71,3.52,32.93,60
B1R4,2,7/21/20,10,MYR3G,31,42.5,60367.823,2.91,32.86,60
B1R4,3,7/21/20,7.2,MYR3G,31,41,58237.194,3.6,33.08,59
B1R1,1,8/3/20,401.9,MYR3G,46,48,45961.043,4.85,49.65,60
B1R1,2,8/3/20,122.9,MYR3G,45,52,50897.6,3.75,49.58,60
B1R1,3,8/3/20,310.3,MYR3G,45,52,50897.6,4.25,49.49,59
B1R3,1,8/3/20,366.2,MYR3G,44,56,56058.545,4.37,47.24,60
B1R3,2,8/3/20,431.5,MYR3G,44,53,53055.409,3.99,47.25,60
B1R3,3,8/3/20,345.3,MYR3G,44,55,55057.5,3.85,47.09,60
B1R4,1,8/3/20,400,MYR3G,46,53,50748.652,3.53,48.77,60
B1R4,2,8/3/20,426,MYR3G,45,56,54812.8,3.95,48.72,60
B1R4,3,8/3/20,418,MYR3G,46,54.5,52184.935,4.31,48.79,60
B2R1,1,8/3/20,503,MYR3G,46,53,50748.652,5.25,50.01,60
B2R1,2,8/3/20,471.2,MYR3G,46,52,49791.13,3.85,49.96,60
B2R1,3,8/3/20,430.4,MYR3G,46,58,55536.261,4.67,49.98,60
B2R2,1,8/3/20,623.2,MYR3G,49,54,48540.49,4.65,53.73,60
B2R2,2,8/3/20,640.5,MYR3G,49,55.5,49888.837,3.76,53.77,60
B2R2,3,8/3/20,678.7,MYR3G,50,51,44926.92,3.95,53.59,60
B2R3,1,8/3/20,494.8,MYR3G,46,56,53621.217,4.01,50.3,60
B2R3,2,8/3/20,384.1,MYR3G,46,58,55536.261,4.42,50.38,60
B2R3,3,8/3/20,448.1,MYR3G,46,54.5,52184.935,3.43,50.37,60
B3R1,1,8/3/20,674.2,MYR3G,51,54,46636.941,4.15,54.99,60
B3R1,2,8/3/20,651,MYR3G,52,56.5,47857.673,3.94,54.87,60
B3R1,3,8/3/20,501.8,MYR3G,49,55,49439.388,4.29,54.86,60
B3R2,1,8/3/20,515.7,MYR3G,48,55,50469.375,4.91,51.74,60
B3R2,2,8/3/20,486.8,MYR3G,48,53,48634.125,3.76,51.64,60
B3R2,3,8/3/20,507.1,MYR3G,48,57.5,52763.438,3.89,51.75,60
B3R3,1,8/3/20,544.4,MYR3G,44,56,56058.545,4.13,47.9,60
B3R3,2,8/3/20,555.2,MYR3G,44,53,53055.409,3.87,47.99,60
B3R3,3,8/3/20,536.4,MYR3G,44,55,55057.5,4.3,47.91,60
B1R1,1,8/13/20,1034.1,MYR3G,56,52,40909.143,5.27,61.59,60
B1R1,2,8/13/20,1215.7,MYR3G,56,47,36975.571,5.53,61.59,60
B1R1,3,8/13/20,1257.9,MYR3G,56,46.5,36582.214,5.87,61.66,60
B1R3,1,8/13/20,680.8,MYR3G,57,54,41737.263,5.67,62.36,60
B1R3,2,8/13/20,1351,MYR3G,57,45,34781.053,5.72,62.31,60
B1R3,3,8/13/20,1096.9,MYR3G,57,46.5,35940.421,6.73,62.39,60
B1R4,1,8/13/20,1026.1,MYR3G,56,48,37762.286,5.62,63.11,60
B1R4,2,8/13/20,847.4,MYR3G,57,56.5,43669.544,5.85,63.16,60
B1R4,3,8/13/20,972.3,MYR3G,58,50.5,38359.103,6.14,63.08,60
B2R1,1,8/13/20,1172.8,MYR3G,57,47.5,36713.333,5.92,63.06,60
B2R1,2,8/13/20,1040.4,MYR3G,58,49,37219.724,6.5,63.04,60
B2R1,3,8/13/20,NA,MYR3G,57,49,37872.702,6.83,63.09,60
B2R2,1,8/13/20,1141,MYR3G,59,52,38829.017,6.01,65.13,60
B2R2,2,8/13/20,1132.9,MYR3G,59,48,35842.169,6.83,65.12,60
B2R2,3,8/13/20,1354.9,MYR3G,60,52,38181.867,6.59,65.13,60
B2R3,1,8/13/20,949.2,MYR3G,58,53,40258.069,5.51,63.58,60
B2R3,2,8/13/20,964.3,MYR3G,58,51.5,39118.69,5.69,63.64,60
B2R3,3,8/13/20,894.9,MYR3G,58,47.5,36080.345,5.88,63.59,60
B3R1,1,8/13/20,936.3,MYR3G,60,53,38916.133,5.68,65.6,60
B3R1,2,8/13/20,1195.9,MYR3G,60,47,34510.533,5.7,65.66,60
B3R1,3,8/13/20,953.1,MYR3G,60,50,36713.333,5.64,65.73,60
B3R2,1,8/13/20,964.9,MYR3G,58,49.5,37599.517,5.85,64.13,60
B3R2,2,8/13/20,1076.1,MYR3G,59,48,35842.169,6.35,64.18,60
B3R2,3,8/13/20,852.4,MYR3G,59,53,39575.729,6.52,64.14,60
B3R3,1,8/13/20,1027.4,MYR3G,52,49,41514.308,5.58,57.53,60
B3R3,2,8/13/20,907.4,MYR3G,52,48,40667.077,5.38,57.58,60
B3R3,3,8/13/20,885.5,MYR3G,52,49,41514.308,6.25,57.49,60
B1R1,1,8/16/20,317.7,MYR3G,55,49,39252.564,3.37,60.69,60
B1R1,2,8/16/20,1136.1,MYR3G,54,54,44059,4.93,60.41,60
B1R1,3,8/16/20,867.4,MYR3G,55,53,42456.855,7.19,60.49,60
B1R3,1,8/16/20,1169.7,MYR3G,56,51.5,40518.545,4.78,62.62,60
B1R3,2,8/16/20,1242.1,MYR3G,56,52.5,41305.313,5.21,62.44,60
B1R3,3,8/16/20,1172.6,MYR3G,56,52,40911.929,6.07,62.21,60
B1R4,1,8/16/20,1111.8,MYR3G,56,49.5,38945.009,5.17,61.96,60
B1R4,2,8/16/20,1190.2,MYR3G,56,49,38551.625,6,61.83,60
B1R4,3,8/16/20,1046,MYR3G,56,50,39338.393,5.09,61.92,60
B2R1,1,8/16/20,1340.6,MYR3G,56,50.5,39731.777,7.67,61.9,60
B2R1,2,8/16/20,1098.8,MYR3G,56,52,40911.929,4.94,62.1,60
B2R1,3,8/16/20,1269.8,MYR3G,56,50,39338.393,6.18,62.1,60
B2R2,1,8/16/20,1421.4,MYR3G,58,51.5,39121.353,5.58,65.7,60
B2R2,2,8/16/20,1156.4,MYR3G,59,52,38831.661,7.64,65.9,60
B2R2,3,8/16/20,1375.6,MYR3G,60,51.5,37817.308,5.84,65.7,60
B2R3,1,8/16/20,NA,MYR3G,NA,NA,#VALUE!,NA,NA,NA
B2R3,2,8/16/20,1179.8,MYR3G,60,50,36715.833,7.97,65.88,60
B2R3,3,8/16/20,1331.7,MYR3G,60,51,37450.15,5.11,66.01,60
B3R1,1,8/16/20,994.8,MYR3G,55,57,45661.145,5.23,60.84,60
B3R1,2,8/16/20,1220.8,MYR3G,56,52.5,41305.313,5.17,60.96,60
B3R1,3,8/16/20,1300,MYR3G,56,49,38551.625,5.08,60.84,60
B3R2,1,8/16/20,1104,MYR3G,59,52.5,39205.042,6.12,64.49,60
B3R2,2,8/16/20,1116,MYR3G,59,52,38831.661,5.07,64.14,60
B3R2,3,8/16/20,1254.7,MYR3G,59,50,37338.136,5.56,64.52,60
B3R3,1,8/16/20,1170.6,MYR3G,57,50,38648.246,5.86,61.9,60
B3R3,2,8/16/20,1181.6,MYR3G,56,54,42485.464,5.33,61.82,60
B3R3,3,8/16/20,1080.1,MYR3G,56,50.5,39731.777,5.34,61.76,60
B1R1,1,8/22/20,993.3,MYR3G,54,54,44065,7.09,59.22,60
B1R1,2,8/22/20,1275,MYR3G,54,52,42432.963,7.42,59.12,60
B1R1,3,8/22/20,1063.3,MYR3G,54,50.5,41208.935,6.95,59.1,60
B1R3,1,8/22/20,1475.8,MYR3G,52,52,44065,7.01,57.19,60
B1R3,2,8/22/20,1287.4,MYR3G,52,54,45759.808,4.8,57.11,60
B1R3,3,8/22/20,1141.1,MYR3G,52,50,42370.192,5.59,57.23,60
B1R4,1,8/22/20,982.5,MYR3G,54,51,41616.944,6.39,59.98,60
B1R4,2,8/22/20,660,MYR3G,54,54,44065,5.64,60.02,60
B1R4,3,8/22/20,1207,MYR3G,54,50,40800.926,7.4,59.97,60
B2R1,1,8/22/20,1199.6,MYR3G,53,52,43233.585,5.21,57.73,60
B2R1,2,8/22/20,1304.5,MYR3G,53,51,42402.17,5.2,57.78,60
B2R1,3,8/22/20,1315.6,MYR3G,53,53,44065,5.02,57.77,60
B2R2,1,8/22/20,1198.5,MYR3G,54,54,44065,5.73,63.52,61
B2R2,2,8/22/20,1332,MYR3G,54,51.5,42024.954,4.92,63.6,60
B2R2,3,8/22/20,1277.8,MYR3G,54,51.5,42024.954,6.86,63.73,60
B2R3,1,8/22/20,1112.2,MYR3G,57,56,43291.93,4.58,67.08,60
B2R3,2,8/22/20,1278.7,MYR3G,57,52,40199.649,7.32,67.16,60
B2R3,3,8/22/20,1204.4,MYR3G,57,52,40199.649,7.32,67.23,60
B3R1,1,8/22/20,1078.1,MYR3G,56,59,46425.625,5.83,62.19,60
B3R1,2,8/22/20,1188.7,MYR3G,56,50.5,39737.188,5.29,62.01,60
B3R1,3,8/22/20,1150.6,MYR3G,56,53,41704.375,5.1,62.1,60
B3R2,1,8/22/20,1282.3,MYR3G,57,51.5,39813.114,5.79,62.48,60
B3R2,2,8/22/20,1174.4,MYR3G,57,50,38653.509,6.62,62.59,60
B3R2,3,8/22/20,1262.7,MYR3G,57,52.5,40586.184,7.29,62.52,60
B3R3,1,8/22/20,1540.4,MYR3G,53,49.5,41155.047,5.63,58.54,60
B3R3,2,8/22/20,1536.3,MYR3G,53,50.5,41986.462,7.11,58.46,60
B3R3,3,8/22/20,1207.1,MYR3G,53,50,41570.755,5.53,58.49,60
B1R1,1,8/27/20,1771.7,MYR3G,53,55,45733.019,6.43,58.55,60
B1R1,2,8/27/20,1593.3,MYR3G,54,54.5,44478.056,6.88,58.75,60
B1R1,3,8/27/20,1422.5,MYR3G,53,56,46564.528,6.65,58.78,60
B1R3,1,8/27/20,1844.4,MYR3G,53,51,42406.981,5.34,58.77,60
B1R3,2,8/27/20,1891.2,MYR3G,52,52,44070,5.58,58.62,60
B1R3,3,8/27/20,1581.4,MYR3G,53,55,45733.019,5.82,58.74,60
B1R4,1,8/27/20,1690.6,MYR3G,52,57.5,48731.25,6.1,57.54,60
B1R4,2,8/27/20,1837.8,MYR3G,53,55,45733.019,6.13,57.39,60
B1R4,3,8/27/20,1565.1,MYR3G,52,55,46612.5,5.67,57.26,60
B2R1,1,8/27/20,2097.1,MYR3G,56,54,42496.071,6.32,60.87,60
B2R1,2,8/27/20,2062.3,MYR3G,55,51.5,41265.545,6.93,60.94,60
B2R1,3,8/27/20,2074.8,MYR3G,56,55,43283.036,6.72,60.7,60
B2R2,1,8/27/20,1823.9,MYR3G,56,58,45643.929,6.32,60.94,60
B2R2,2,8/27/20,1659.4,MYR3G,55,58,46473.818,6.63,60.87,60
B2R2,3,8/27/20,2187.8,MYR3G,55,52,41666.182,6.45,60.69,60
B2R3,1,8/27/20,1743.3,MYR3G,54,53,43253.889,6.31,60.2,60
B2R3,2,8/27/20,62.6,MYR3G,53,53,44070,5.74,60.29,60
B2R3,3,8/27/20,1658.2,MYR3G,55,55,44070,5.49,60.41,60
B3R1,1,8/27/20,1743.9,MYR3G,55,55,44070,6.72,62.49,60
B3R1,2,8/27/20,1798.6,MYR3G,56,53,41709.107,7.27,62.23,60
B3R1,3,8/27/20,1626.7,MYR3G,56,53,41709.107,5.87,62.15,60
B3R2,1,8/27/20,1923.4,MYR3G,57,54,41750.526,7.12,63.63,60
B3R2,2,8/27/20,1607.8,MYR3G,58,57,43310.172,7.3,63.66,60
B3R2,3,8/27/20,1879,MYR3G,58,54,41030.69,6.47,63.73,60
B3R3,1,8/27/20,1749.6,MYR3G,52,53,44917.5,6.05,57.28,60
B3R3,2,8/27/20,1728.7,MYR3G,52,53,44917.5,5.61,57.38,60
B3R3,3,8/27/20,1858.7,MYR3G,52,54.5,46188.75,5.62,57.26,60
B1R1,1,9/4/20,1283.1,MYR3G,53,51,42414.679,5.64,57.61,60
B1R1,2,9/4/20,1264.6,MYR3G,52,56,47468.615,5.75,57.86,60
B1R1,3,9/4/20,1600.6,MYR3G,54,52,42445.481,8.23,58.9,60
B1R3,1,9/4/20,1536.8,MYR3G,53,51.5,42830.509,6.12,58.25,60
B1R3,2,9/4/20,1598.8,MYR3G,53,56,46572.981,9.41,58.25,60
B1R3,3,9/4/20,1602.3,MYR3G,52,51,43230.346,6.37,58.14,60
B1R4,1,9/4/20,1432.5,MYR3G,54,55.5,45302.389,8.5,59.21,60
B1R4,2,9/4/20,1477.7,MYR3G,54,54,44078,6.01,58.81,60
B1R4,3,9/4/20,1509.4,MYR3G,53,52,43246.34,6.62,59.02,59
B2R1,1,9/4/20,1632.4,MYR3G,50,50.5,44518.78,6.52,55.28,60
B2R1,2,9/4/20,1585.6,MYR3G,55,55,44078,9.05,59.84,60
B2R1,3,9/4/20,1577.8,MYR3G,54,51.5,42037.352,6.37,59.88,60
B2R2,1,9/4/20,1573,MYR3G,54,52.5,42853.611,7.07,60.06,60
B2R2,2,9/4/20,1518.8,MYR3G,56,54.5,42897.339,6.08,61.18,60
B2R2,3,9/4/20,1583.7,MYR3G,55,56,44879.418,6.14,61.2,60
B2R3,1,9/4/20,1265.1,MYR3G,56,56,44078,8.32,61.35,60
B2R3,2,9/4/20,1396.6,MYR3G,54,51.5,42037.352,7.05,60.32,60
B2R3,3,9/4/20,1426.3,MYR3G,55,53,42475.164,5.74,60.5,60
B3R1,1,9/4/20,1427,MYR3G,55,51.5,41273.036,6.15,60.44,60
B3R1,2,9/4/20,1372.1,MYR3G,58,52,39518.207,8.82,64.39,60
B3R1,3,9/4/20,1378.2,MYR3G,58,55,41798.103,7.4,64.36,60
B3R2,1,9/4/20,1522.2,MYR3G,58,52,39518.207,6.62,64.11,60
B3R2,2,9/4/20,1614.8,MYR3G,56,51.5,40536.018,8.41,61.37,60
B3R2,3,9/4/20,1504.3,MYR3G,56,52,40929.571,6.48,61.55,60
B3R3,1,9/4/20,1370.8,MYR3G,56,52.5,41323.125,8.34,61.24,60
B3R3,2,9/4/20,1337.8,MYR3G,50,53,46722.68,6.05,55.2,60
B3R3,3,9/4/20,1370.3,MYR3G,50,51,44959.56,6.26,55.34,60
B1R1,2,9/8/20,1755,MYR3G,49,54,48580.163,5.75,54.5,60
B1R1,3,9/8/20,1927.6,MYR3G,49,50,44981.633,6.12,54.48,60
B1R3,1,9/8/20,2076.7,MYR3G,54,48,39184,6.83,58.5,60
B1R3,2,9/8/20,1986.3,MYR3G,53,52,43250.264,6.76,58.5,60
B1R3,3,9/8/20,1902.7,MYR3G,52,54,45777.462,7.11,58.38,60
B1R4,1,9/8/20,1297.7,MYR3G,52,57,48320.654,6.21,57.77,60
B1R4,2,9/8/20,1712.8,MYR3G,52,58,49168.385,7.45,58.03,60
B1R4,3,9/8/20,1509.4,MYR3G,51,55,47539.412,7.66,57.92,60
B2R1,1,9/8/20,1910.8,MYR3G,50,52,45845.28,5.52,55.48,60
B2R1,2,9/8/20,1917.1,MYR3G,50,53,46726.92,6.71,56.16,60
B2R1,3,9/8/20,1831.9,MYR3G,50,53,46726.92,5.96,56.15,60
B2R2,1,9/8/20,1968,MYR3G,55,55,44082,6.39,61.72,60
B2R2,2,9/8/20,2057.2,MYR3G,55,54,43280.509,6.7,61.49,60
B2R2,3,9/8/20,2090.5,MYR3G,56,55.5,43688.411,6.44,61.57,60
B2R3,1,9/8/20,1853.2,MYR3G,54,54,44082,6.97,60.13,60
B2R3,2,9/8/20,1907.9,MYR3G,53,51,42418.528,6.63,59.06,60
B2R3,3,9/8/20,1829.8,MYR3G,53,52,43250.264,6.73,59.12,60
B3R1,1,9/8/20,1665.5,MYR3G,53,53,44082,7.08,58.32,60
B3R1,2,9/8/20,1600,MYR3G,52,51.5,43658.135,6.79,58.32,60
B3R1,3,9/8/20,1558.9,MYR3G,52,52,44082,7.58,58.27,60
B3R2,1,9/8/20,1900.5,MYR3G,54,54,44082,7.91,60.74,60
B3R2,2,9/8/20,1725.5,MYR3G,53,52.5,43666.132,6.71,60.57,60
B3R2,3,9/8/20,2003.2,MYR3G,54,52,42449.333,7.79,60.63,60
B3R3,1,9/8/20,2049.3,MYR3G,50,51.5,45404.46,6.79,55.67,60
B3R3,2,9/8/20,1645.6,MYR3G,51,51,44082,5.85,55.85,60
B3R3,3,9/8/20,1451.1,MYR3G,51,52,44946.353,6.52,55.78,60
B1R1,1,9/12/20,1195.6,MYR3G,51,47,40628.275,6.32,56.63,60
B1R1,2,9/12/20,1093,MYR3G,51,48.5,41924.922,8.01,56.69,60
B1R1,3,9/12/20,1190.8,MYR3G,51,47,40628.275,7.61,56.5,60
B1R3,1,9/12/20,1438.1,MYR3G,53,48,39926.943,6.06,58.85,60
B1R3,2,9/12/20,1345.3,MYR3G,53,51,42422.377,8.01,58.83,60
B1R3,3,9/12/20,1248.9,MYR3G,53,50,41590.566,7.39,58.77,60
B1R4,1,9/12/20,1099.4,MYR3G,54,49.5,40412.167,5.95,59.62,60
B1R4,2,9/12/20,1146.6,MYR3G,53,48,39926.943,7.39,59.73,60
B1R4,3,9/12/20,968.5,MYR3G,54,52.5,42861.389,7.8,59.5,60
B2R1,1,9/12/20,1226.6,MYR3G,55,51,40879.745,6.41,60.91,60
B2R1,2,9/12/20,1213,MYR3G,55,48,38475.055,7.05,60.99,60
B2R1,3,9/12/20,1339.1,MYR3G,54,50,40820.37,7.98,60.64,60
B2R2,1,9/12/20,1339,MYR3G,56,50.5,39756.125,6.9,62.53,60
B2R2,2,9/12/20,1251,MYR3G,56,53,41724.25,8.62,62.48,60
B2R2,3,9/12/20,1526.2,MYR3G,56,52.5,41330.625,6.53,62.52,60
B2R3,1,9/12/20,1257.9,MYR3G,58,52,39525.379,6.47,64.27,60
B2R3,2,9/12/20,1395.1,MYR3G,58,49.5,37625.121,9.14,64.42,60
B2R3,3,9/12/20,1175.2,MYR3G,56,51.5,40543.375,5.54,64.17,60
B3R1,1,9/12/20,719.8,MYR3G,55,50.5,40478.964,5.11,61.64,60
B3R1,2,9/12/20,1221.3,MYR3G,55,51,40879.745,6.84,61.62,60
B3R1,3,9/12/20,1428.8,MYR3G,54,53,43269.593,6.49,61.45,60
B3R2,1,9/12/20,1147.2,MYR3G,59,53,39602.678,7.49,66.5,60
B3R2,2,9/12/20,1464.2,MYR3G,59,53.5,39976.288,12,66.45,60
B3R2,3,9/12/20,1126.4,MYR3G,59,52,38855.458,9.76,66.52,60
B3R3,1,9/12/20,1319.5,MYR3G,52,50,42390.385,6.09,57.3,60
B3R3,2,9/12/20,1230.7,MYR3G,52,51.5,43662.096,6.27,57.37,60
B3R3,3,9/12/20,1347.8,MYR3G,52,51,43238.192,5.96,57.29,60
B1R1,1,7/8/20,680,Q3G,26,40,67723.077,3,27.11,60
B1R1,2,7/8/20,816.2,Q3G,27,38,61954.074,2.96,26.08,60
B1R1,3,7/8/20,702.4,Q3G,26,42,71109.231,3.46,27.19,60
B1R3,1,7/8/20,734.5,Q3G,25,37,65149.6,2.99,27.08,60
B1R3,2,7/8/20,753.8,Q3G,26,36.5,61797.308,2.8,27.08,60
B1R3,3,7/8/20,631,Q3G,27,38.5,62769.259,2.94,27.13,60
B1R4,1,7/8/20,744.3,Q3G,26,39.5,66876.538,3.02,27.12,60
B1R4,2,7/8/20,899.1,Q3G,26,39,66030,3.1,26.72,60
B1R4,3,7/8/20,871.6,Q3G,26,40,67723.077,3.31,27.05,60
B2R1,1,7/8/20,679,Q3G,28,41.5,65243.929,2.93,28.67,60
B2R1,2,7/8/20,851.9,Q3G,28,36,56597.143,3.67,28.4,60
B2R1,3,7/8/20,883.6,Q3G,28,35,55025,3.21,28.59,60
B2R2,1,7/8/20,794.3,Q3G,30,40,58693.333,3.65,30.71,60
B2R2,2,7/8/20,775.2,Q3G,30,39.5,57959.667,3.51,30.69,60
B2R2,3,7/8/20,752.7,Q3G,30,41.5,60894.333,3.51,30.65,60
B2R3,1,7/8/20,682.4,Q3G,27,39,63584.444,3.09,27.88,60
B2R3,2,7/8/20,737.9,Q3G,27,40,65214.815,2.73,28.01,60
B2R3,3,7/8/20,170.6,Q3G,27,40.5,66030,3.44,27.99,60
B3R1,1,7/8/20,727,Q3G,27,38.5,62769.259,3.13,28.45,60
B3R1,2,7/8/20,651.5,Q3G,26,39,66030,3.05,28.4,60
B3R1,3,7/8/20,854.7,Q3G,28,34.5,54238.929,3.78,28.27,60
B3R2,1,7/8/20,639.8,Q3G,30,38.5,56492.333,3.51,35.52,60
B3R2,2,7/8/20,718.6,Q3G,30,41,60160.667,3.25,35.54,60
B3R2,3,7/8/20,754.6,Q3G,29,41,62235.172,3.41,35.36,60
B3R3,1,7/8/20,808.8,Q3G,23,35.5,67943.913,2.79,29.23,60
B3R3,2,7/8/20,735.4,Q3G,23,38.5,73685.652,3.14,29.2,60
B3R3,3,7/8/20,800,Q3G,23,38.5,73685.652,2.74,28.88,60
B1R1,1,7/12/20,674.5,Q3G,26,38,64342.769,2.13,26.77,60
B1R1,2,7/12/20,636.1,Q3G,26,36,60956.308,2.04,26.79,60
B1R1,3,7/12/20,677.2,Q3G,26,32.5,55030,2.06,26.86,60
B1R3,1,7/12/20,591.9,Q3G,29,39.5,59963.724,NA,29.62,60
B1R3,2,7/12/20,726.1,Q3G,29,34.5,52373.379,3.01,29.77,60
B1R3,3,7/12/20,714.1,Q3G,29,37,56168.552,3.36,29.55,60
