Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,dif_abs,Conc_mg_l,Extract_ini_vol,Extract_final_vol,dilution_factor,Conc_w_dil_factor,Skin_weight_aft,Berry_weight,Berry_numb,con_mg_g_skin,conc_mg_g_berry_weight,con_mg_berry,treatment
11/12/2019,9/19/2019,B1R4,3,1.351,0.592,0.759,2279,47.0,54.50,1.16,2643,8.19,51.77,60,15.17,2.40,2.07,1
11/21/2019,8/8/2019,B2R1,1,1.715,0.308,1.407,4302,50.0,50.00,1.00,4302,6.32,54.90,60,34.04,3.92,3.59,2
11/21/2019,8/8/2019,B2R1,2,1.628,0.308,1.32,4030,50.0,53.00,1.06,4272,5.99,54.90,60,35.66,3.89,3.56,2
11/21/2019,8/8/2019,B2R1,3,1.587,0.349,1.238,3774,50.0,52.00,1.04,3925,5.92,55.10,60,33.15,3.56,3.27,2
11/19/2019,8/15/2019,B2R1,1,1.489,0.467,1.022,3100,55.0,52.00,0.95,2931,6.17,59.84,60,26.13,2.69,2.69,2
11/19/2019,8/15/2019,B2R1,2,1.667,0.479,1.188,3618,55.0,54.00,0.98,3553,6.91,59.99,60,28.28,3.26,3.26,2
11/19/2019,8/15/2019,B2R1,3,1.622,0.422,1.2,3656,55.0,51.00,0.93,3390,6.58,59.87,60,28.34,3.11,3.11,2
11/20/2019,8/20/2019,B2R1,1,1.9,0.661,1.239,3778,59.0,52.00,0.88,3329,7.33,64.78,60,26.80,3.03,3.27,2
11/20/2019,8/20/2019,B2R1,2,1.548,0.591,0.957,2897,59.0,55.50,0.94,2725,9.18,65.09,60,17.52,2.47,2.68,2
11/20/2019,8/20/2019,B2R1,3,1.941,0.652,1.289,3934,59.0,51.00,0.86,3400,8.31,65.02,60,24.14,3.09,3.34,2
11/13/2019,9/19/2019,B2R1,1,2.029,1.048,0.981,2972,60.0,50.50,0.84,2502,9.79,67.05,60,15.33,2.24,2.50,2
11/14/2019,9/19/2019,B2R1,3,1.932,0.761,1.171,3565,61.0,50.50,0.83,2952,10.56,67.11,60,17.05,2.68,3.00,2
11/19/2019,9/19/2019,B2R1,2,1.864,0.767,1.097,3334,60.0,53.50,0.89,2973,10.54,67.21,60,16.92,2.65,2.97,2
11/21/2019,8/8/2019,B2R2,1,1.803,0.392,1.411,4315,54.0,52.50,0.97,4195,6.60,59.60,60,34.32,3.80,3.78,2
11/21/2019,8/8/2019,B2R2,2,1.509,0.341,1.168,3556,54.0,52.00,0.96,3424,7.08,59.20,60,26.12,3.12,3.08,2
11/21/2019,8/8/2019,B2R2,3,1.552,0.335,1.217,3709,54.0,54.00,1.00,3709,6.92,59.30,60,28.94,3.38,3.34,2
11/19/2019,8/15/2019,B2R2,1,1.761,0.631,1.13,3437,59.0,49.50,0.84,2884,6.98,65.26,60,24.38,2.61,2.84,2
11/19/2019,8/15/2019,B2R2,2,1.621,0.584,1.037,3147,59.0,53.00,0.90,2827,7.93,65.03,60,21.03,2.56,2.78,2
11/19/2019,8/15/2019,B2R2,3,1.909,0.647,1.262,3849,59.0,51.00,0.86,3327,7.75,65.07,60,25.33,3.02,3.27,2
11/20/2019,8/20/2019,B2R2,1,1.693,0.65,1.043,3166,59.0,51.50,0.87,2763,9.69,64.57,60,16.82,2.52,2.72,2
11/20/2019,8/20/2019,B2R2,2,1.827,0.638,1.189,3621,58.0,50.50,0.87,3153,8.69,64.03,60,21.05,2.86,3.05,2
11/20/2019,8/20/2019,B2R2,3,1.408,0.571,0.837,2523,59.0,52.00,0.88,2223,7.37,64.48,60,17.80,2.03,2.19,2
