date,block,Rep,short_name_antho,mAU,Extract_ini_vol,Extract_final_vol,dilution_factor,Skin_weight_aft,Berry_weight,Berry_numb
8/3/2020,B2R1,3,C3G,247.2,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,Pet3G,816.8,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,P3G,848.6,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,M3G,3832,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,D3AG,398.7,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,C3AG,89.8,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,Pet3Ag,436.9,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,P3AG,527,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,M3AG,2884.6,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,P3CG,207.9,46,58,1.26,4.67,49.98,60
8/3/2020,B2R1,3,M3CG,454.1,46,58,1.26,4.67,49.98,60
8/3/2020,B2R2,1,D3G,1438.5,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,C3G,321.4,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,Pet3G,1011.3,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,P3G,1046.1,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,M3G,4827.5,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,D3AG,479.7,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,C3AG,116.5,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,Pet3Ag,538.7,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,P3AG,647,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,M3AG,3561.9,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,P3CG,234.7,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,1,M3CG,545.3,49,54,1.1,4.65,53.73,60
8/3/2020,B2R2,2,D3G,1622.3,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,C3G,330,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,Pet3G,1115.1,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,P3G,1100,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,M3G,5174.7,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,D3AG,542.7,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,C3AG,119.6,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,Pet3Ag,568,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,P3AG,659.2,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,M3AG,3726.6,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,P3CG,240.8,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,2,M3CG,575.3,49,55.5,1.13,3.76,53.77,60
8/3/2020,B2R2,3,D3G,1622.4,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,C3G,371.8,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,Pet3G,1121.1,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,P3G,1196.3,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,M3G,5055.2,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,D3AG,542.8,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,C3AG,131,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,Pet3Ag,580,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,P3AG,677.6,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,M3AG,3681.8,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,P3CG,246.2,50,51,1.02,3.95,53.59,60
8/3/2020,B2R2,3,M3CG,547.6,50,51,1.02,3.95,53.59,60
8/3/2020,B2R3,1,D3G,1126.5,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,C3G,235.3,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,Pet3G,787.4,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,P3G,806,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,M3G,3670,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,D3AG,394.6,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,C3AG,83.4,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,Pet3Ag,416.6,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,P3AG,486.8,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,M3AG,2742.4,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,P3CG,171.3,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,1,M3CG,380.8,46,56,1.22,4.01,50.3,60
8/3/2020,B2R3,2,D3G,1061.6,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,C3G,250.5,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,Pet3G,728.8,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,P3G,802,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,M3G,3589.9,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,D3AG,349.9,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,C3AG,84.3,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,Pet3Ag,389.8,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,P3AG,478,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,M3AG,2711,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,P3CG,159.3,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,2,M3CG,360.6,46,58,1.26,4.42,50.38,60
8/3/2020,B2R3,3,D3G,1107.6,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,C3G,279.6,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,Pet3G,778.9,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,P3G,873.2,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,M3G,3780.4,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,D3AG,371.7,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,C3AG,98.8,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,Pet3Ag,407.2,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,P3AG,515.5,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,M3AG,2779.3,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,P3CG,157,46,54.5,1.18,3.43,50.37,60
8/3/2020,B2R3,3,M3CG,343.7,46,54.5,1.18,3.43,50.37,60
8/3/2020,B3R1,1,D3G,1853.2,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,C3G,449.4,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,Pet3G,1255.3,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,P3G,1356.8,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,M3G,5717.7,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,D3AG,632.6,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,C3AG,156,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,Pet3Ag,660.7,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,P3AG,788.2,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,M3AG,4129.5,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,P3CG,268.7,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,1,M3CG,626.4,51,54,1.06,4.15,54.99,60
8/3/2020,B3R1,2,D3G,1749.8,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,C3G,376.7,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,Pet3G,1201.4,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,P3G,1199.9,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,M3G,5509.6,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,D3AG,572.5,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,C3AG,128.8,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,Pet3Ag,602.1,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,P3AG,709.5,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,M3AG,3942.2,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,P3CG,251.3,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,2,M3CG,604.6,52,56.5,1.09,3.94,54.87,60
8/3/2020,B3R1,3,D3G,1385.5,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,C3G,304.4,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,Pet3G,948,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,P3G,1024.2,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,M3G,4534.2,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,D3AG,473.9,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,C3AG,107,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,Pet3Ag,517.2,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,P3AG,653.5,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,M3AG,3469.3,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,P3CG,216.5,49,55,1.12,4.29,54.86,60
8/3/2020,B3R1,3,M3CG,496.8,49,55,1.12,4.29,54.86,60
8/3/2020,B3R2,1,D3G,1374.1,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,C3G,354,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,Pet3G,921,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,P3G,1102.5,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,M3G,4333.4,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,D3AG,464.9,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,C3AG,125.4,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,Pet3Ag,472.2,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,P3AG,594.6,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,M3AG,3057.4,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,P3CG,181.1,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,1,M3CG,418.3,48,55,1.15,4.91,51.74,60
8/3/2020,B3R2,2,D3G,1244.6,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,C3G,328.7,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,Pet3G,867,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,P3G,1028.1,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,M3G,4116.6,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,D3AG,426.7,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,C3AG,113.5,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,Pet3Ag,449,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,P3AG,588,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,M3AG,2973.5,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,P3CG,200.1,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,2,M3CG,424.3,48,53,1.1,3.76,51.64,60
8/3/2020,B3R2,3,D3G,1363.2,48,57.5,1.2,3.89,51.75,60
8/3/2020,B3R2,3,C3G,374.2,48,57.5,1.2,3.89,51.75,60
