Date_analysis,Date_sampled,Block_id,Rep,Control,Treated,Extract_ini_vol,Extract_final_vol,Skin_weight_aft,Berry_weight,Berry_numb
11/20/2019,8/20/2019,B2R1,1,1.9,0.661,59,52,7.33,64.78,60
11/20/2019,8/20/2019,B2R1,2,1.548,0.591,59,55.5,9.18,65.09,60
11/20/2019,8/20/2019,B2R1,3,1.941,0.652,59,51,8.31,65.02,60
11/20/2019,8/20/2019,B2R2,1,1.693,0.65,59,51.5,9.69,64.57,60
11/20/2019,8/20/2019,B2R2,2,1.827,0.638,58,50.5,8.69,64.03,60
11/20/2019,8/20/2019,B2R2,3,1.408,0.571,59,52,7.37,64.48,60
11/20/2019,8/20/2019,B3R1,1,1.098,0.437,52,52,8.68,57.45,60
11/20/2019,8/20/2019,B3R1,2,0.954,0.398,52,55.5,8.47,57.16,60
11/20/2019,8/20/2019,B3R1,3,1.209,0.477,52,51,9.02,57.34,60
11/20/2019,8/20/2019,B3R2,1,1.408,0.496,56,52.5,6.99,61.17,60
11/20/2019,8/20/2019,B3R2,2,1.227,0.427,56,54,6.19,61,60
11/20/2019,8/20/2019,B3R2,3,1.327,0.426,56,54.5,7.97,61.05,60
11/20/2019,8/20/2019,B3R3,1,1.299,0.43,49,53,6.92,54.38,60
11/20/2019,8/20/2019,B3R3,2,1.457,0.495,49,51.5,6.89,54.31,60
11/20/2019,8/20/2019,B3R3,3,1.355,0.441,50,53.5,7.3,54.5,60
11/20/2019,8/20/2019,B2R3,1,1.043,0.405,52,52.5,7.74,57.54,60
11/20/2019,8/20/2019,B2R3,2,1.35,0.439,52,52,7.67,57.29,60
11/20/2019,8/20/2019,B2R3,3,1.295,0.468,52,50.5,6.23,57.14,60
11/22/2019,9/3/2019,B1R2,1,2.165,0.848,66,51,9.76,73.14,60
11/22/2019,9/3/2019,B1R2,2,2.231,0.828,67,50,7.91,73.97,60
11/22/2019,9/3/2019,B1R2,3,2.031,0.641,67,52,9.47,73.34,60
11/22/2019,9/3/2019,B1R3,1,1.209,0.566,49,55,7.58,54.86,60
11/22/2019,9/3/2019,B1R3,2,1.442,0.642,49,52,6.73,54.64,60
11/22/2019,9/3/2019,B1R4,1,1.294,0.516,47,51.5,6.09,52.9,60
11/22/2019,9/3/2019,B1R4,2,1.145,0.452,47,50.5,5.8,52.58,60
12/3/2019,9/3/2019,B1R4,3,1.294,0.433,47,52,8.66,52.04,60
12/3/2019,9/3/2019,B2R1,1,1.974,0.853,62,51,10.66,69.09,60
12/3/2019,9/3/2019,B2R1,2,1.519,0.513,62,52.5,9.33,69.1,60
12/3/2019,9/3/2019,B2R1,3,1.688,0.625,62,53.5,10.6,69.07,60
12/3/2019,9/3/2019,B2R2,1,1.823,0.671,60,55,10.5,67.11,60
12/3/2019,9/3/2019,B2R2,2,1.661,0.645,60,58,11.08,67.33,60
12/3/2019,9/3/2019,B2R2,3,1.845,0.657,60,53,10.78,67.23,60
12/3/2019,9/3/2019,B2R3,1,1.571,0.651,54,50.5,9.45,60.4,60
12/3/2019,9/3/2019,B2R3,2,1.507,0.576,54,51,9.83,60.1,60
12/3/2019,9/3/2019,B2R3,3,1.652,0.587,54,50,8.16,60.11,60
12/3/2019,9/3/2019,B3R1,1,1.357,0.572,54,52.5,9.59,59.93,60
12/3/2019,9/3/2019,B3R1,2,1.549,0.628,54,50.5,9.21,59.81,60
12/3/2019,9/3/2019,B3R1,3,1.424,0.584,54,52,9.45,59.06,60
12/3/2019,9/3/2019,B3R2,1,1.702,0.682,54,52,9.23,61.06,60
12/3/2019,9/3/2019,B3R2,2,1.692,0.672,54,50,9.73,60.77,60
12/3/2019,9/3/2019,B3R2,3,1.601,0.612,54,51,9.12,60.82,60
12/3/2019,9/3/2019,B3R3,1,1.528,0.591,52,51,8.77,57.2,60
12/3/2019,9/3/2019,B3R3,2,1.632,0.529,52,52.5,10.8,56.84,60
12/3/2019,9/3/2019,B3R3,3,1.489,0.583,52,52,9.59,57.13,60
12/3/2019,9/3/2019,B1R4,3,1.248,0.473,47,52,8.66,52.04,60
11/12/2019,9/12/2019,B1R2,1,2.032,0.845,69,54.5,10.67,75.33,60
11/12/2019,9/12/2019,B1R2,2,1.955,0.738,69,57,11.24,75.67,60
11/12/2019,9/12/2019,B1R2,3,2.096,0.807,69,51.5,10.58,75.98,60
11/12/2019,9/12/2019,B1R3,1,1.272,0.565,47,52,8.71,52.66,60
11/12/2019,9/12/2019,B1R3,2,1.034,0.457,47,57,8.71,52.89,60
11/12/2019,9/12/2019,B1R3,3,1.095,0.514,47,57,8.76,52.14,60
11/12/2019,9/12/2019,B1R4,1,1.315,0.625,47,53,8.05,51.76,60
11/12/2019,9/12/2019,B1R4,2,1.208,0.609,47,52,7.04,51.59,60
11/12/2019,9/12/2019,B1R4,3,1.351,0.592,47,54.5,8.19,51.77,60
1/14/2020,9/12/2019,B1R2,1,2.127,0.829,69,54.5,10.67,75.33,60
1/14/2020,9/12/2019,B1R2,2,1.935,0.715,69,57,11.24,75.67,60
1/14/2020,9/12/2019,B1R2,3,1.946,0.799,69,51.5,10.58,75.98,60
1/14/2020,9/12/2019,B1R3,1,1.17,0.541,47,52,8.71,52.66,60
1/14/2020,9/12/2019,B1R3,2,1.063,0.514,47,57,8.71,52.89,60
1/14/2020,9/12/2019,B1R3,3,0.952,0.41,47,57,8.76,52.14,60
1/14/2020,9/12/2019,B1R4,1,1.246,0.57,47,53,8.05,51.76,60
1/14/2020,9/12/2019,B1R4,2,1.156,0.566,47,52,7.04,51.59,60
1/14/2020,9/12/2019,B1R4,3,1.257,0.526,47,54.5,8.19,51.77,60
1/14/2020,9/12/2019,B1R2,1,2.029,0.778,69,54.5,10.67,75.33,60
1/14/2020,9/12/2019,B1R2,2,1.91,0.653,69,57,11.24,75.67,60
1/14/2020,9/12/2019,B1R2,3,2.099,0.815,69,51.5,10.58,75.98,60
1/14/2020,9/12/2019,B1R3,1,1.229,0.541,47,52,8.71,52.66,60
1/14/2020,9/12/2019,B1R3,2,1.207,0.5,47,57,8.71,52.89,60
1/14/2020,9/12/2019,B1R3,3,1.032,0.419,47,57,8.76,52.14,60
1/14/2020,9/12/2019,B1R4,1,1.245,0.544,47,53,8.05,51.76,60
1/14/2020,9/12/2019,B1R4,2,1.244,0.549,47,52,7.04,51.59,60
1/14/2020,9/12/2019,B1R4,3,1.262,0.513,47,54.5,8.19,51.77,60
1/14/2020,9/12/2019,B1R2,1,2.117,0.798,69,54.5,10.67,75.33,60
1/14/2020,9/12/2019,B1R2,2,1.915,0.676,69,57,11.24,75.67,60
1/14/2020,9/12/2019,B1R2,3,2.011,0.759,69,51.5,10.58,75.98,60
1/14/2020,9/12/2019,B1R3,1,1.221,0.537,47,52,8.71,52.66,60
1/14/2020,9/12/2019,B1R3,2,1.099,0.521,47,57,8.71,52.89,60
1/14/2020,9/12/2019,B1R3,3,1.016,0.432,47,57,8.76,52.14,60
1/14/2020,9/12/2019,B1R4,1,1.233,0.526,47,53,8.05,51.76,60
1/14/2020,9/12/2019,B1R4,2,1.266,0.55,47,52,7.04,51.59,60
1/14/2020,9/12/2019,B1R4,3,1.269,0.524,47,54.5,8.19,51.77,60
11/13/2019,9/19/2019,B2R1,1,2.029,1.048,60,50.5,9.79,67.05,60
11/14/2019,9/19/2019,B2R1,3,1.932,0.761,61,50.5,10.56,67.11,60
11/19/2019,9/19/2019,B2R1,2,1.864,0.767,60,53.5,10.54,67.21,60
11/19/2019,9/19/2019,B2R2,1,2.012,0.871,58,51,10.42,64.16,60
11/19/2019,9/19/2019,B2R2,2,2.148,0.74,58,53,10.23,64.18,60
11/19/2019,9/19/2019,B2R2,3,1.831,0.737,58,54.5,10.71,64.23,60
11/13/2019,9/19/2019,B2R3,1,1.525,0.79,52,53.5,7.54,57.23,60
11/13/2019,9/19/2019,B2R3,3,1.414,0.68,52,54,7.31,57.06,60
11/14/2019,9/19/2019,B2R3,2,1.201,0.57,52,59,7.01,56.82,60
